,nor_esm2,cnrm_esm2_1,mpi_esm1_2,miroc6,access_esm1_5,can_esm5,mri_esm2_0,model_mean
1850-12-31 00:00:00,17847730000000.0,23014586000000.0,19256740000000.0,16649820000000.0,16469691000000.0,5917033600000.0,11979459000000.0,15876437000000.0
1851-12-31 00:00:00,17841403000000.0,22936335000000.0,19072775000000.0,16655899000000.0,15602720000000.0,5712323300000.0,11972464000000.0,15684845000000.0
1852-12-31 00:00:00,17806597000000.0,22955190000000.0,19143544000000.0,16651872000000.0,15386052000000.0,5516784300000.0,11966155000000.0,15632314000000.0
1853-12-31 00:00:00,17662229000000.0,22950223000000.0,18971483000000.0,16651872000000.0,15684843000000.0,5544420600000.0,11952694000000.0,15631108000000.0
1854-12-31 00:00:00,17545540000000.0,22929817000000.0,18742187000000.0,16651872000000.0,16276988000000.0,6139961000000.0,11958838000000.0,15749315000000.0
1855-12-31 00:00:00,17473485000000.0,22913256000000.0,18996615000000.0,16651872000000.0,16475241000000.0,6280314000000.0,11954358000000.0,15820735000000.0
1856-12-31 00:00:00,17454323000000.0,22972350000000.0,19309158000000.0,16648104000000.0,15911711000000.0,6114020000000.0,11945676000000.0,15765049000000.0
1857-12-31 00:00:00,17408492000000.0,23147263000000.0,19076584000000.0,16634200000000.0,15684710000000.0,6093140400000.0,11945676000000.0,15712867000000.0
1858-12-31 00:00:00,17354005000000.0,23257846000000.0,18570763000000.0,16624301000000.0,15017456000000.0,6172367000000.0,11944135000000.0,15562982000000.0
1859-12-31 00:00:00,17409834000000.0,23337342000000.0,18598130000000.0,16611069000000.0,14393188000000.0,5908820700000.0,11939513000000.0,15456843000000.0
1860-12-31 00:00:00,17552982000000.0,23435768000000.0,19127146000000.0,16599123000000.0,14692257000000.0,5641791000000.0,11937742000000.0,15569544000000.0
1861-12-31 00:00:00,17722985000000.0,23626310000000.0,19209720000000.0,16607009000000.0,15353097000000.0,5605593400000.0,11927654000000.0,15721768000000.0
