,nor_esm2,cnrm_esm2_1,mpi_esm1_2,miroc6,access_esm1_5,can_esm5,mri_esm2_0,model_mean
1850-12-31 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1851-12-31 00:00:00,0.9996455,0.9965999,0.99044675,1.0003651,0.9473596,0.9654032,0.99941605,0.9879323
1852-12-31 00:00:00,0.9976953,0.99741924,0.99412173,1.0001233,0.9342041,0.9323564,0.9988895,0.98462355
1853-12-31 00:00:00,0.98960644,0.99720335,0.98518664,1.0001233,0.95234597,0.93702704,0.9977658,0.9845476
1854-12-31 00:00:00,0.9830684,0.99631673,0.97327936,1.0001233,0.98829955,1.0376755,0.9982787,0.991993
1855-12-31 00:00:00,0.9790312,0.9955971,0.9864918,1.0001233,1.000337,1.0613956,0.99790466,0.99649155
1856-12-31 00:00:00,0.9779576,0.9981648,1.002722,0.9998969,0.9661208,1.0332915,0.9971799,0.99298406
1857-12-31 00:00:00,0.9753897,1.0057648,0.9906445,0.9990618,0.95233786,1.0297626,0.9971799,0.98969734
1858-12-31 00:00:00,0.9723368,1.0105698,0.96437734,0.9984673,0.9118238,1.0431523,0.99705136,0.9802566
1859-12-31 00:00:00,0.9754649,1.014024,0.96579844,0.99767256,0.8739198,0.998612,0.9966655,0.9735713
1860-12-31 00:00:00,0.9834854,1.0183007,0.9932702,0.99695504,0.8920785,0.953483,0.99651766,0.9806699
1861-12-31 00:00:00,0.9930106,1.0265799,0.99755824,0.9974287,0.9322031,0.94736546,0.9956755,0.9902579
1862-12-31 00:00:00,0.9967648,1.0371352,0.9919605,0.99740934,0.95252377,0.8934674,0.9940047,0.9920355
1863-12-31 00:00:00,0.997739,1.048254,1.0083121,0.9970506,0.966683,0.9008876,0.9948566,0.99985945
1864-12-31 00:00:00,0.99691707,1.0573406,1.0421674,0.9970506,0.9783111,0.91657656,0.99406475,1.0099485
1865-12-31 00:00:00,0.99641323,1.0600419,1.0558223,0.9970506,0.99158794,0.91086143,0.99374145,1.0144213
1866-12-31 00:00:00,0.9906661,1.0559582,1.0284652,0.9970506,0.999929,0.9431759,0.99222183,1.0107052
1867-12-31 00:00:00,0.9904399,1.0524708,1.0233483,0.99693745,0.9717013,0.8939744,0.9900172,1.0020028
1868-12-31 00:00:00,0.98689955,1.0423695,1.0207981,0.9963717,0.95700884,0.8257654,0.98900723,0.99289787
1869-12-31 00:00:00,0.990524,1.0349945,1.0256693,0.9963717,0.9636924,0.85009366,0.9870085,0.9948671
1870-12-31 00:00:00,0.99796546,1.0292549,1.0348885,0.99670845,0.9630058,0.91261053,0.9869431,0.99974114
1871-12-31 00:00:00,0.9984151,1.0179714,1.0490408,0.9964912,0.92435944,0.9559209,0.9857199,0.99634314
1872-12-31 00:00:00,1.0009329,1.0139139,1.0455031,0.996672,0.9274399,1.0655094,0.98386073,1.0014123
1873-12-31 00:00:00,1.0003982,1.0108759,1.0388081,0.99569196,0.9181791,1.0252333,0.9827116,0.9957497
1874-12-31 00:00:00,1.0012944,1.0096978,1.034644,0.9954965,0.9428637,1.0251565,0.98195684,0.9984715
1875-12-31 00:00:00,1.0043411,1.0103481,1.0370405,0.994828,0.94160676,0.9827411,0.9818401,0.9969534
1876-12-31 00:00:00,0.99489063,1.0114791,1.0263304,0.994828,0.95707786,0.896929,0.9818401,0.99153817
1877-12-31 00:00:00,0.99121636,1.0132523,1.0084203,0.994828,0.99851406,0.84226155,0.9820037,0.99145967
1878-12-31 00:00:00,0.98353344,1.0159447,1.0113606,0.994828,0.9925786,0.84988576,0.9828218,0.9909074
1879-12-31 00:00:00,0.9831992,1.0142429,1.0277442,0.994828,0.9628008,0.8609382,0.9824846,0.9894793
1880-12-31 00:00:00,0.98305047,1.0136476,1.0450749,0.994828,0.94833803,0.8696142,0.9827513,0.99068236
1881-12-31 00:00:00,0.984111,1.015886,1.0534989,0.994828,0.9318123,0.96411514,0.9827513,0.9953583
1882-12-31 00:00:00,0.98546404,1.018087,1.0664076,0.994828,0.95119095,0.94841766,0.9827513,1.0003041
