,nor_esm2,cnrm_esm2_1,mpi_esm1_2,miroc6,access_esm1_5,can_esm5,mri_esm2_0,model_mean
1850-12-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1851-12-31 00:00:00,0.088897705,-0.033111572,-0.1506958,0.4078369,-0.034454346,-0.17337036,-0.022766113,0.011810303
1852-12-31 00:00:00,0.20651245,0.12857056,-0.112213135,0.3695984,0.118499756,-0.081451416,-0.08416748,0.07791138
1853-12-31 00:00:00,0.24130249,-0.31124878,0.046173096,0.094573975,-0.12872314,0.006134033,-0.35211182,-0.057678223
1854-12-31 00:00:00,0.25769043,0.03552246,-0.16842651,-0.010864258,-0.08566284,-0.18304443,-0.17352295,-0.046875
1855-12-31 00:00:00,0.03286743,-0.035888672,-0.2477417,-0.03643799,-0.104766846,-0.1986084,-0.029693604,-0.08859253
1856-12-31 00:00:00,0.041168213,-0.13989258,-0.10882568,0.25942993,0.020629883,-0.23721313,0.018005371,-0.020965576
1857-12-31 00:00:00,0.35107422,-0.28527832,0.010009766,0.457489,0.2871704,-0.19573975,0.034454346,0.094177246
1858-12-31 00:00:00,0.20574951,-0.12557983,0.0101623535,0.42282104,0.48568726,-0.200531,0.21737671,0.1451416
1859-12-31 00:00:00,-0.1725769,-0.24319458,-0.27114868,0.21981812,0.4956665,-0.123046875,0.27661133,0.026031494
1860-12-31 00:00:00,-0.3765564,-0.43075562,-0.33340454,0.36724854,0.5432129,-0.19168091,0.07775879,-0.04916382
1861-12-31 00:00:00,-0.35073853,-0.5138855,-0.2798767,0.41409302,0.1842041,-0.13739014,-0.08331299,-0.10952759
1862-12-31 00:00:00,-0.2522583,-0.26986694,-0.085357666,0.2814026,0.16964722,-0.23544312,0.1293335,-0.037475586
1863-12-31 00:00:00,0.057373047,-0.29418945,-0.14831543,-0.043701172,0.059692383,-0.14993286,-0.24813843,-0.10958862
1864-12-31 00:00:00,0.14352417,0.002166748,-0.21383667,0.16265869,0.16940308,-0.12332153,-0.080566406,0.008575439
1865-12-31 00:00:00,0.048980713,0.068603516,-0.30999756,0.21533203,0.11968994,-0.33862305,-0.14932251,-0.049316406
1866-12-31 00:00:00,-0.20492554,0.22668457,-0.28274536,0.051971436,0.16601562,-0.006286621,-0.2374878,-0.040985107
1867-12-31 00:00:00,-0.15667725,0.15615845,-0.19470215,0.13589478,-0.016082764,0.1131897,-0.2281189,-0.027160645
1868-12-31 00:00:00,0.27453613,0.25024414,-0.2718506,0.17144775,-0.057678223,-0.18585205,-0.051452637,0.018493652
1869-12-31 00:00:00,0.23934937,0.12161255,-0.2663269,0.1404419,0.06515503,-0.10140991,-0.007507324,0.02734375
1870-12-31 00:00:00,-0.09838867,0.17739868,-0.35003662,0.35162354,0.19888306,0.049621582,-0.27017212,0.008453369
1871-12-31 00:00:00,0.021911621,0.07165527,-0.1565857,0.27386475,0.19177246,-0.007873535,-0.34381104,0.007293701
1872-12-31 00:00:00,-0.150177,0.09075928,-0.34942627,0.34292603,0.049743652,-0.1383667,-0.3345642,-0.06985474
1873-12-31 00:00:00,-0.17889404,0.029083252,-0.32769775,0.39611816,0.105041504,-0.13168335,-0.2746277,-0.054656982
1874-12-31 00:00:00,-0.19580078,0.07543945,-0.47335815,0.35394287,-0.057678223,-0.19223022,-0.15423584,-0.09194946
1875-12-31 00:00:00,-0.08932495,0.033050537,-0.21755981,0.5969238,-0.32080078,-0.06411743,-0.15045166,-0.030303955
1876-12-31 00:00:00,0.15765381,-0.1048584,-0.023101807,0.16183472,-0.061767578,-0.059448242,-0.3614502,-0.04156494
1877-12-31 00:00:00,0.18386841,-0.07015991,-0.023864746,-0.03778076,0.09365845,-0.034240723,0.14035034,0.036010742
1878-12-31 00:00:00,0.31689453,0.035308838,-0.34707642,0.1899414,0.059173584,0.07330322,0.041931152,0.052764893
1879-12-31 00:00:00,-0.009521484,0.08306885,-0.4152527,0.19284058,0.12701416,0.056152344,-0.04876709,-0.0020446777
1880-12-31 00:00:00,0.09851074,-0.06506348,-0.40896606,0.39016724,0.2675171,0.118652344,-0.2586975,0.020355225
1881-12-31 00:00:00,0.009643555,0.015808105,-0.3868103,0.35723877,0.1842041,-0.016784668,-0.17468262,-0.0016174316
1882-12-31 00:00:00,-0.071502686,0.0040283203,-0.36279297,0.1887207,-0.051696777,-0.0033874512,-0.0025024414,-0.04272461
1883-12-31 00:00:00,0.2487793,-0.22537231,-0.22927856,0.10861206,-0.252594,0.022918701,-0.23516846,-0.08029175
1884-12-31 00:00:00,-0.12124634,-0.47192383,-0.7475891,-0.077697754,-0.3465271,-0.41119385,-0.45944214,-0.37649536
1885-12-31 00:00:00,0.1781311,-0.23678589,-0.62316895,0.2467041,-0.21566772,-0.30795288,-0.18081665,-0.16275024
1886-12-31 00:00:00,0.012786865,0.0657959,-0.41644287,-0.0072631836,-0.24356079,-0.4537964,-0.12844849,-0.16723633
1887-12-31 00:00:00,-0.20593262,-0.1444397,-0.4454956,0.070739746,0.0340271,-0.33935547,-0.014312744,-0.14920044
1888-12-31 00:00:00,-0.040649414,-0.056640625,-0.30371094,0.05783081,0.0075683594,-0.02633667,0.06335449,-0.042633057
1889-12-31 00:00:00,-0.008514404,-0.16220093,-0.418396,-0.025390625,0.22766113,-0.1543274,0.013092041,-0.075408936
1890-12-31 00:00:00,0.1222229,0.05621338,-0.40872192,-0.026062012,0.31478882,-0.09362793,0.091918945,0.008148193
1891-12-31 00:00:00,0.054016113,0.057281494,-0.3138733,0.26571655,0.30700684,-0.22131348,0.103881836,0.036132812
1892-12-31 00:00:00,0.09921265,-0.14471436,-0.50772095,0.2211914,0.039276123,-0.06607056,0.01776123,-0.048706055
1893-12-31 00:00:00,0.19744873,0.08605957,-0.39172363,0.40185547,0.1880188,-0.14190674,0.024963379,0.052124023
1894-12-31 00:00:00,0.18341064,-0.03894043,-0.24975586,0.3777771,0.25204468,-0.07254028,-0.2572937,0.027832031
